id,title,genres,averageRating,numVotes,releaseYear
tt8289930,"Formula 1: Drive to Survive","Documentary, Sport",8.5,52722,2019
tt0290988,"Trailer Park Boys","Comedy, Crime",8.5,52202,2001
tt0402711,"Boston Legal","Comedy, Crime, Drama",8.5,50814,2004
tt0163507,"Whose Line Is It Anyway?","Comedy, Game-Show",8.5,46997,1998
tt3895150,"Your Lie in April","Animation, Comedy, Drama",8.5,40025,2014
tt2359704,"JoJo's Bizarre Adventure","Action, Adventure, Animation",8.5,37942,2012
tt0373732,"The Boondocks","Action, Animation, Comedy",8.5,36885,2005
tt12714854,"Mumbai Diaries","Drama, Thriller",8.5,30852,2021
tt1526318,Borgen,Drama,8.5,30541,2010
tt11301642,Ethos,"Drama, Thriller",8.5,30048,2020
tt1299368,Southland,"Crime, Drama, Thriller",8.5,29554,2009
tt0043208,"I Love Lucy",Comedy,8.5,29420,1951
tt10802170,"The Rehearsal","Comedy, Documentary",8.5,27152,2022
tt9398466,"Delhi Crime","Crime, Drama",8.5,26856,2019
tt0075520,"Jesus of Nazareth","Biography, Drama, History",8.5,25376,1977
tt16296870,"The Railway Men","Drama, History, Thriller",8.5,25124,2023
tt1353056,"RuPaul's Drag Race","Game-Show, Reality-TV",8.5,23914,2009
tt0088727,"Anne of Green Gables","Drama, Family",8.5,23149,1985
tt0262985,"Queer as Folk","Drama, Romance",8.5,22821,2000
tt9522300,"Kaguya-sama: Love is War","Animation, Comedy, Romance",8.5,21881,2019
tt11407524,"Hostel Daze","Comedy, Drama",8.5,21468,2019
tt2674806,"Inside No. 9","Comedy, Crime, Drama",8.5,21371,2014
tt7259746,"Queer Eye",Reality-TV,8.5,21356,2018
tt0346314,"Ghost in the Shell: Stand Alone Complex","Action, Animation, Crime",8.5,21338,2002
tt0182629,"Rurouni Kenshin","Action, Adventure, Animation",8.5,20889,1996
tt6005644,"TVF Tripling","Comedy, Drama",8.5,20734,2016
tt1094229,Heartland,"Drama, Family",8.5,20647,2007
tt0397150,"Garth Marenghi's Darkplace","Comedy, Fantasy, Horror",8.5,20489,2004
tt3673794,Kingdom,"Drama, Sport",8.5,20002,2014
tt2155025,"Please Like Me","Comedy, Drama, Romance",8.5,19980,2013
tt0047708,"Alfred Hitchcock Presents","Crime, Drama, Mystery",8.5,19625,1955
tt12074628,"Smiling Friends","Animation, Comedy, Short",8.5,19397,2020
tt0493331,"Barareh Nights",Comedy,8.5,18689,2005
tt5425186,"Horace and Pete","Comedy, Drama",8.5,17751,2016
tt0070644,"Scenes from a Marriage",Drama,8.5,17427,1973
tt4295140,"Chef's Table","Biography, Documentary",8.5,17261,2015
tt8317568,"Broken But Beautiful","Drama, Romance",8.5,17224,2018
tt0185133,"Yu Yu Hakusho: Ghost Files","Action, Adventure, Animation",8.5,16593,1992
tt1230180,"The Angry Video Game Nerd","Action, Comedy, Sci-Fi",8.5,16005,2004
tt0131179,"Detective Conan","Action, Animation, Comedy",8.5,15896,1996
tt6958022,"The Defiant Ones","Biography, Crime, Documentary",8.5,15779,2017
tt0061287,"The Prisoner","Drama, Mystery, Sci-Fi",8.5,15336,1967
tt11691684,"Flower of Evil","Crime, Mystery, Romance",8.5,15281,2020
tt0934320,"Summer Heights High","Comedy, Drama, Family",8.5,15249,2007
tt0098825,"House of Cards",Drama,8.5,15239,1990
tt0807832,Mushi-Shi,"Animation, Drama, Fantasy",8.5,14971,2005
tt26225038,"Death's Game","Drama, Fantasy",8.5,14732,2023
tt22185582,Sixer,"Drama, Sport",8.5,14129,2022
tt27867155,"Mr Bates vs. The Post Office","Biography, Drama",8.5,12748,2024
